供应商ID,材料分类,总供货量,活跃度,稳定性,可靠性,充足率,TOPSIS得分,材料权重,最终得分,排名
S125,B,49.0,0.06666666666666667,0.0999000999000999,0.1864406779661017,0.0,0.003937761439226244,1.2,0.0047253137270714925,349
S012,A,29.0,0.05,0.0999000999000999,0.14705882352941177,0.0,0.0029463373477999905,1.6,0.004714139756479985,350
S103,C,30.0,0.075,0.0999000999000999,0.25396825396825395,0.0,0.004700783799230842,1.0,0.004700783799230842,351
S084,C,70.0,0.075,0.0999000999000999,0.2112676056338028,0.0,0.004461300317327417,1.0,0.004461300317327417,352
S060,C,86.0,0.041666666666666664,0.0999000999000999,0.36,0.0,0.004320590995999782,1.0,0.004320590995999782,353
S246,C,44.0,0.075,0.0999000999000999,0.18055555555555555,0.0,0.004307616935788799,1.0,0.004307616935788799,354
S071,A,191.0,0.05,0.0999000999000999,0.08333333333333333,0.0,0.0026813051053101275,1.6,0.004290088168496204,355
S062,A,75.0,0.020833333333333332,0.0999000999000999,0.23529411764705882,0.0,0.0026534733065108787,1.6,0.004245557290417406,356
S390,B,66.0,0.05416666666666667,0.0999000999000999,0.20408163265306123,0.0,0.0034798048232124,1.2,0.00417576578785488,357
S008,C,41.0,0.0625,0.0999000999000999,0.25,0.0,0.004135050435212413,1.0,0.004135050435212413,358
S112,B,123.0,0.020833333333333332,0.0999000999000999,0.3125,0.0,0.0034348805763667824,1.2,0.0041218566916401385,359
S179,B,31.0,0.058333333333333334,0.0999000999000999,0.16216216216216217,0.0,0.00341712446449438,1.2,0.004100549357393256,360
S119,A,29.0,0.0375,0.0999000999000999,0.1702127659574468,0.0,0.00256100409389179,1.6,0.004097606550226864,361
S394,A,144.0,0.041666666666666664,0.0999000999000999,0.13636363636363635,0.0,0.002520470399089804,1.6,0.004032752638543686,362
S153,B,175.0,0.05416666666666667,0.0999000999000999,0.17857142857142858,0.0,0.0033367853852792565,1.2,0.004004142462335107,363
S228,C,151.0,0.0625,0.0999000999000999,0.22807017543859648,0.0,0.004002435772511989,1.0,0.004002435772511989,364
S387,B,33.0,0.05416666666666667,0.0999000999000999,0.17105263157894737,0.0,0.0032739508850118926,1.2,0.003928741062014271,365
S215,B,50.0,0.058333333333333334,0.0999000999000999,0.13157894736842105,0.0,0.0032678094960544826,1.2,0.003921371395265379,366
S400,B,53.0,0.05416666666666667,0.0999000999000999,0.16666666666666666,0.0,0.003249251031747161,1.2,0.003899101238096593,367
S192,C,30.0,0.06666666666666667,0.0999000999000999,0.17647058823529413,0.0,0.003885844021943167,1.0,0.003885844021943167,368
S068,C,42.0,0.06666666666666667,0.0999000999000999,0.15942028985507245,0.0,0.003803150414364952,1.0,0.003803150414364952,369
S277,C,30.0,0.06666666666666667,0.0999000999000999,0.14634146341463414,0.0,0.00374392710960873,1.0,0.00374392710960873,370
S095,B,32.0,0.05416666666666667,0.0999000999000999,0.14084507042253522,0.0,0.003109320935103972,1.2,0.0037311851221247666,371
S077,B,128.0,0.05,0.0999000999000999,0.1724137931034483,0.0,0.003105202189276844,1.2,0.0037262426271322123,372
S231,C,31.0,0.06666666666666667,0.0999000999000999,0.14102564102564102,0.0,0.0037211505572716562,1.0,0.0037211505572716562,373
S375,B,112.0,0.05416666666666667,0.0999000999000999,0.13114754098360656,0.0,0.003068295618111444,1.2,0.0036819547417337325,374
S019,B,109.0,0.05,0.0999000999000999,0.15517241379310345,0.0,0.0029987807709917656,1.2,0.0035985369251901184,375
S100,C,42.0,0.06666666666666667,0.0999000999000999,0.0989010989010989,0.0,0.0035668927025078387,1.0,0.0035668927025078387,376
S183,C,28.0,0.0625,0.0999000999000999,0.14634146341463414,0.0,0.0035388693761147392,1.0,0.0035388693761147392,377
S006,C,30.0,0.05416666666666667,0.0999000999000999,0.2,0.0,0.003451930165154173,1.0,0.003451930165154173,378
S257,C,31.0,0.05416666666666667,0.0999000999000999,0.19607843137254902,0.0,0.0034267757258825836,1.0,0.0034267757258825836,379
S297,C,31.0,0.058333333333333334,0.0999000999000999,0.16216216216216217,0.0,0.00341712446449438,1.0,0.00341712446449438,380
S262,C,28.0,0.05416666666666667,0.0999000999000999,0.17857142857142858,0.0,0.003318357897226383,1.0,0.003318357897226383,381
S293,A,192.0,0.03333333333333333,0.0999000999000999,0.11940298507462686,0.0,0.002070296515686186,1.6,0.003312474425097898,382
S162,C,28.0,0.058333333333333334,0.0999000999000999,0.10112359550561797,0.0,0.0031439900651065757,1.0,0.0031439900651065757,383
S034,C,30.0,0.058333333333333334,0.0999000999000999,0.09090909090909091,0.0,0.0031090115548535005,1.0,0.0031090115548535005,384
S355,C,31.0,0.029166666666666667,0.0999000999000999,0.25925925925925924,0.0,0.003063170806319584,1.0,0.003063170806319584,385
S204,A,81.0,0.020833333333333332,0.0999000999000999,0.14814814814814814,0.0,0.001818572947281437,1.6,0.002909716715650299,386
S241,C,28.0,0.04583333333333333,0.0999000999000999,0.14285714285714285,0.0,0.00273149491675803,1.0,0.00273149491675803,387
S135,C,87.0,0.020833333333333332,0.0999000999000999,0.23809523809523808,0.0,0.002682579261314166,1.0,0.002682579261314166,388
S144,A,28.0,0.0125,0.0999000999000999,0.15,0.0,0.0016528363874882973,1.6,0.002644538219981276,389
S344,B,54.0,0.0375,0.0999000999000999,0.1111111111111111,0.0,0.0021689014453168424,1.2,0.0026026817343802106,390
S343,C,28.0,0.04583333333333333,0.0999000999000999,0.11428571428571428,0.0,0.0025768983100057886,1.0,0.0025768983100057886,391
S251,A,36.0,0.025,0.0999000999000999,0.09259259259259259,0.0,0.0015032136230347416,1.6,0.0024051417968555867,392
S212,C,31.0,0.041666666666666664,0.0999000999000999,0.08823529411764706,0.0,0.002251449268114624,1.0,0.002251449268114624,393
S334,C,148.0,0.041666666666666664,0.0999000999000999,0.06944444444444445,0.0,0.0021948890818573033,1.0,0.0021948890818573033,394
S321,B,33.0,0.008333333333333333,0.0999000999000999,0.16666666666666666,0.0,0.0017798197957454448,1.2,0.0021357837548945336,395
S402,B,35.0,0.03333333333333333,0.0999000999000999,0.0547945205479452,0.0,0.0016965884072574003,1.2,0.00203590608870888,396
S190,B,48.0,0.0125,0.0999000999000999,0.14285714285714285,0.0,0.001581103118429451,1.2,0.0018973237421153412,397
S287,B,66.0,0.025,0.0999000999000999,0.1,0.0,0.0015579712978037018,1.2,0.001869565557364442,398
